Chapter,Agency,Filed,Caption,AON,Type,id,country,data_source,doc_url
413,"Department of Human Services, Child Welfare Programs",01/13/2020 3:26 PM,Correcting Statutory Authority and Statutes Implemented,CWP 26-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125900
413,"Department of Human Services, Child Welfare Programs",01/13/2020 3:27 PM,Correcting Statutory Authority and Statutes Implemented,CWP 27-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125901
413,"Department of Human Services, Child Welfare Programs",01/13/2020 3:28 PM,Correcting Statutory Authority and Statutes Implemented,CWP 28-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125902
918,"Department of Consumer and Business Services, Building Codes Division",01/14/2020 8:27 AM,Alternative Approval Process for Single-Family Dwelling Conversions,BCD 1-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125905
413,"Department of Human Services, Child Welfare Programs",01/14/2020 9:24 AM,Correcting Statutory Authority and Statutes Implemented,CWP 29-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125903
413,"Department of Human Services, Child Welfare Programs",01/14/2020 9:24 AM,Correcting Statutory Authority and Statutes Implemented,CWP 30-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125904
413,"Department of Human Services, Child Welfare Programs",01/14/2020 9:24 AM,Correcting Statutory Authority and Statutes Implemented,CWP 31-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125906
413,"Department of Human Services, Child Welfare Programs",01/14/2020 9:25 AM,Correcting Statutory Authority and Statutes Implemented,CWP 32-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125907
413,"Department of Human Services, Child Welfare Programs",01/14/2020 9:26 AM,Correcting Statutory Authority and Statutes Implemented,CWP 33-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125908
413,"Department of Human Services, Child Welfare Programs",01/14/2020 9:57 AM,Correcting Statutory Authority and Statutes Implemented,CWP 34-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125909
413,"Department of Human Services, Child Welfare Programs",01/14/2020 9:57 AM,Correcting Statutory Authority and Statutes Implemented,CWP 35-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125910
413,"Department of Human Services, Child Welfare Programs",01/14/2020 9:57 AM,Correcting Statutory Authority and Statutes Implemented,CWP 36-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125911
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",02/07/2020 1:29 PM,ODDS: OAR 411-380-0060 Statutory Minor Correction,APD 1-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604005
436,"Department of Consumer and Business Services, Workers' Compensation Division",02/07/2020 2:24 PM,Workers’ compensation claim closure; reconsideration; apportionment of pre-existing conditions; chronic conditions,WCD 3-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604006
259,Department of Public Safety Standards and Training,02/10/2020 8:46 AM,"Public Safety Professional Denial and Revocation: Amending standards and processes, and dividing the rules.",DPSST 5-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7603837
943,Oregon Health Authority,02/10/2020 9:15 AM,"Implement Oregon Law 2019, chapter 517 (2019 SB809); alignment with DHS background check hearings processes.",OHA 1-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604007
407,Department of Human Services,02/10/2020 9:21 AM,"DHS Background Check Rules for Oregon Law 2019, Chapter 423 & 517 (2019 SB725 & 809)",DHSD 2-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604008
407,Department of Human Services,02/10/2020 9:22 AM,"Adopt Approval rule for ""Family First"" Subject Individuals",DHSD 3-2020,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604009
584,Teacher Standards and Practices Commission,02/10/2020 9:32 AM,"Amends Program Approval rules on endorsements, clinical practices, and field audits.",TSPC 2-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604010
875,Veterinary Medical Examining Board,02/10/2020 11:24 AM,Establishes provisions for practice of Veterinary Telemedicine (VTM).,VMEB 1-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604011
334,Board of Massage Therapists,02/10/2020 12:01 PM,Correct rules references as the Board intended. Make numbering consistence with State numbering conventions.,BMT 1-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604012
875,Veterinary Medical Examining Board,02/10/2020 12:57 PM,Defines exception to requirements for veterinary-client-patient relationship for practice of veterinary telemedicine.,VMEB 2-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604013
165,"Secretary of State, Elections Division",02/11/2020 11:20 AM,"Establishes timelines for the referrals to the November 3, 2020, General Election.",ELECT 1-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604017
734,"Department of Transportation, Highway Division",02/11/2020 1:53 PM,Renaming ODOT's Motor Carrier Transportation Division to the Commerce and Compliance Division,HWD 1-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604018
734,"Department of Transportation, Highway Division",02/11/2020 1:59 PM,Renaming ODOT's Motor Carrier Transportation Division to the Commerce and Compliance Division,HWD 2-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604019
635,Department of Fish and Wildlife,02/11/2020 3:20 PM,2020 Season Modified for Columbia River Winter Treaty Commercial Fishery.,DFW 12-2020,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604020
635,Department of Fish and Wildlife,02/12/2020 9:17 AM,Rules relating to the capture and holding of native raptor bird species for practicing falconry,DFW 13-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604022
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",02/12/2020 11:11 AM,Updates to Coordinated Care Organizations CCO Financial Oversight Rules on Mergers & Acquisitions,DMAP 3-2020,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604024
459,Oregon Public Employees Retirement System,02/12/2020 2:31 PM,Correct grammatical errors in sections (1) and (2) and spelling error in section (3).,PERS 3-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604027
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",02/13/2020 9:55 AM,Correcting Oregon Law Reference in Statutes Implemented,APD 2-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604028
437,"Department of Consumer and Business Services, Oregon Occupational Safety and Health Division",02/13/2020 9:56 AM,Adopt Additional Federal OSHA Quantitative Fit Testing Protocols for Respirators.,OSHA 1-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604029
635,Department of Fish and Wildlife,02/13/2020 11:37 AM,White Sturgeon Recreational Fisheries Closed in Bonneville and The Dalles Pools,DFW 14-2020,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604030
413,"Department of Human Services, Child Welfare Programs",01/14/2020 9:58 AM,Correcting Statutory Authority and Statutes Implemented,CWP 37-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125912
413,"Department of Human Services, Child Welfare Programs",01/14/2020 9:58 AM,Correcting Statutory Authority and Statutes Implemented,CWP 38-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125913
413,"Department of Human Services, Child Welfare Programs",01/14/2020 11:19 AM,Correcting Statutory Authority and Statutes Implemented,CWP 39-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125914
413,"Department of Human Services, Child Welfare Programs",01/14/2020 11:19 AM,Correcting Statutory Authority and Statutes Implemented,CWP 40-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125915
413,"Department of Human Services, Child Welfare Programs",01/14/2020 11:20 AM,Correcting Statutory Authority and Statutes Implemented,CWP 41-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125916
413,"Department of Human Services, Child Welfare Programs",01/14/2020 11:21 AM,Correcting Statutory Authority and Statutes Implemented,CWP 42-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125917
413,"Department of Human Services, Child Welfare Programs",01/14/2020 11:22 AM,Correcting Statutory Authority and Statutes Implemented,CWP 43-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125918
333,"Oregon Health Authority, Public Health Division",01/14/2020 11:31 AM,Update of the Newborn Screening Rules,PH 7-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125919
413,"Department of Human Services, Child Welfare Programs",01/14/2020 11:51 AM,Correcting Statutory Authority and Statutes Implemented,CWP 44-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125920
413,"Department of Human Services, Child Welfare Programs",01/14/2020 11:52 AM,Correcting Statutory Authority and Statutes Implemented,CWP 45-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125921
413,"Department of Human Services, Child Welfare Programs",01/14/2020 11:52 AM,Correcting Statutory Authority and Statutes Implemented,CWP 46-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125922
413,"Department of Human Services, Child Welfare Programs",01/14/2020 11:53 AM,Correcting Statutory Authority and Statutes Implemented,CWP 47-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125923
413,"Department of Human Services, Child Welfare Programs",01/14/2020 11:54 AM,Correcting Statutory Authority and Statutes Implemented,CWP 48-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125924
918,"Department of Consumer and Business Services, Building Codes Division",01/14/2020 2:10 PM,Alternative Approval Process for Single-Family Dwelling Conversions,BCD 2-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125929
413,"Department of Human Services, Child Welfare Programs",01/14/2020 2:39 PM,Correcting Statutory Authority and Statutes Implemented,CWP 49-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125925
413,"Department of Human Services, Child Welfare Programs",01/14/2020 2:39 PM,Correcting Statutory Authority and Statutes Implemented,CWP 50-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125926
413,"Department of Human Services, Child Welfare Programs",01/14/2020 2:40 PM,Correcting Statutory Authority and Statutes Implemented,CWP 51-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125927
413,"Department of Human Services, Child Welfare Programs",01/14/2020 2:41 PM,Correcting Statutory Authority and Statutes Implemented,CWP 52-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125928
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",01/14/2020 3:12 PM,Billing Rules- Adding A New Form Number For A Pharmacy Specific Agreement To Pay Form,DMAP 2-2020,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125935
156,Legislative Administration Committee,01/14/2020 3:22 PM,Comparability of Work,LAC 2-2020,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125936
413,"Department of Human Services, Child Welfare Programs",01/15/2020 7:45 AM,Correcting Statutory Authority and Statutes Implemented,CWP 53-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125930
738,Oregon Department of Aviation,02/13/2020 3:12 PM,Amending ASAP grant rules,AVIA 1-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604025
141,Department of State Lands,02/13/2020 3:13 PM,"Amendment to OAR Chapter 141, Division 141: Rules Governing the Oregon Ocean Science Trust",DSL 1-2020,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604031
635,Department of Fish and Wildlife,02/13/2020 4:35 PM,"2020 Seasons Set for the Columbia River Select Area Winter, Spring and Summer Commercial Fisheries",DFW 15-2020,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604032
309,"Oregon Health Authority, Health Systems Division: Behavioral Health Services",02/14/2020 9:11 AM,This is the Definitions rule to accompany OAR 309-019-0326 (Youth Wraparound),BHS 3-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604023
736,Parks and Recreation Department,02/14/2020 1:32 PM,Nehalem River Scenic Waterway Management Rules,PRD 1-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604033
582,"Department of Human Services, Vocational Rehabilitation Services",02/14/2020 1:47 PM,OAR 582 Division 1 Definitions - Oregon Vocational Rehabilitation,VRS 2-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604034
715,Higher Education Coordinating Commission,02/14/2020 3:53 PM,Temporary School Closure – Private Career Schools,HECC 1-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604035
635,Department of Fish and Wildlife,02/18/2020 11:16 AM,2020 Hatchery Chinook Salmon Season in the Hood River,DFW 16-2020,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604036
738,Oregon Department of Aviation,02/18/2020 12:11 PM,Amending aircraft registration rules for manned and unmanned aircraft,AVIA 2-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604026
413,"Department of Human Services, Child Welfare Programs",02/18/2020 3:09 PM,Correcting Statutory Authority and Statutes Implemented References,CWP 104-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604046
413,"Department of Human Services, Child Welfare Programs",02/18/2020 3:09 PM,Correcting Statutory Authority and Statutes Implemented References,CWP 105-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604045
413,"Department of Human Services, Child Welfare Programs",02/18/2020 3:10 PM,Correcting Statutory Authority and Statutes Implemented References,CWP 106-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604044
413,"Department of Human Services, Child Welfare Programs",02/18/2020 3:10 PM,Correcting Statutory Authority and Statutes Implemented References,CWP 107-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604043
413,"Department of Human Services, Child Welfare Programs",02/18/2020 3:11 PM,Correcting Statutory Authority and Statutes Implemented,CWP 108-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604042
413,"Department of Human Services, Child Welfare Programs",02/18/2020 3:11 PM,Correcting Statutory Authority and Statutes Implemented References,CWP 109-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604041
413,"Department of Human Services, Child Welfare Programs",02/18/2020 3:12 PM,Correcting Statutory Authority and Statutes Implemented,CWP 110-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604040
413,"Department of Human Services, Child Welfare Programs",02/18/2020 3:12 PM,Correcting Statutory Authority and Statutes Implemented and References,CWP 111-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604039
413,"Department of Human Services, Child Welfare Programs",02/18/2020 3:13 PM,Correcting Statutory Authority and Statutes Implemented,CWP 112-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604038
413,"Department of Human Services, Child Welfare Programs",02/18/2020 3:13 PM,Correcting Statutory Authority and Statutes Implemented,CWP 113-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604037
291,Department of Corrections,02/19/2020 8:09 AM,Pre-Sentence Reports,DOC 4-2020,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604016
859,Psychiatric Security Review Board,02/19/2020 1:13 PM,Correcting relevant statutory reference regarding hearings timelines.,PSRB 1-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604047
635,Department of Fish and Wildlife,02/19/2020 2:50 PM,2020 Season Modified for Columbia River Winter Treaty Commercial Fishery.,DFW 17-2020,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604048
801,Oregon Board of Accountancy,02/19/2020 3:10 PM,Correcting the lettering of a list.,BOA 1-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604049
801,Oregon Board of Accountancy,02/19/2020 3:20 PM,Correct lettering of a list.,BOA 2-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604050
413,"Department of Human Services, Child Welfare Programs",01/15/2020 7:45 AM,Correcting Statutory Authority and Statutes Implemented,CWP 54-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125931
413,"Department of Human Services, Child Welfare Programs",01/15/2020 7:46 AM,Correcting Statutory Authority and Statutes Implemented,CWP 55-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125932
413,"Department of Human Services, Child Welfare Programs",01/15/2020 7:50 AM,Correcting Statutory Authority and Statutes Implemented,CWP 56-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125933
413,"Department of Human Services, Child Welfare Programs",01/15/2020 7:51 AM,Correcting Statutory Authority and Statutes Implemented,CWP 57-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125934
413,"Department of Human Services, Child Welfare Programs",01/15/2020 8:23 AM,Correcting Statutory Authority and Statutes Implemented,CWP 58-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125937
413,"Department of Human Services, Child Welfare Programs",01/15/2020 8:24 AM,Correcting Statutory Authority and Statutes Implemented,CWP 59-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125938
413,"Department of Human Services, Child Welfare Programs",01/15/2020 8:25 AM,Correcting Statutory Authority and Statutes Implemented,CWP 60-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125939
413,"Department of Human Services, Child Welfare Programs",01/15/2020 8:25 AM,Correcting Statutory Authority and Statutes Implemented,CWP 61-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125940
413,"Department of Human Services, Child Welfare Programs",01/15/2020 8:26 AM,Correcting Statutory Authority and Statutes Implemented,CWP 62-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125941
413,"Department of Human Services, Child Welfare Programs",01/15/2020 9:02 AM,Correcting Statutory Authority and Statutes Implemented,CWP 63-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125942
413,"Department of Human Services, Child Welfare Programs",01/15/2020 9:02 AM,Correcting Statutory Authority and Statutes Implemented,CWP 64-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7125943
413,"Department of Human Services, Child Welfare Programs",01/15/2020 9:03 AM,Correcting Statutory Authority and Statutes Implemented,CWP 65-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7131022
413,"Department of Human Services, Child Welfare Programs",01/15/2020 9:04 AM,Correcting Statutory Authority and Statutes Implemented,CWP 66-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7131023
413,"Department of Human Services, Child Welfare Programs",01/15/2020 9:05 AM,Correcting Statutory Authority and Statutes Implemented,CWP 67-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7131024
413,"Department of Human Services, Child Welfare Programs",01/15/2020 10:36 AM,Correcting Statutory Authority and Statutes Implemented,CWP 68-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7603638
413,"Department of Human Services, Child Welfare Programs",01/15/2020 10:36 AM,Correcting Statutory Authority and Statutes Implemented,CWP 69-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7603639
413,"Department of Human Services, Child Welfare Programs",01/15/2020 10:37 AM,Correcting Statutory Authority and Statutes Implemented,CWP 70-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7603640
413,"Department of Human Services, Child Welfare Programs",01/15/2020 10:45 AM,Correcting Statutory Authority and Statutes Implemented,CWP 71-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7603641
413,"Department of Human Services, Child Welfare Programs",01/15/2020 10:46 AM,Correcting Statutory Authority and Statutes Implemented,CWP 72-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7603643
413,"Department of Human Services, Child Welfare Programs",01/15/2020 10:50 AM,Correcting Statutory Authority and Statutes Implemented,CWP 73-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7603646
413,"Department of Human Services, Child Welfare Programs",01/15/2020 11:44 AM,Correcting Statutory Authority and Statutes Implemented,CWP 74-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7603648
413,"Department of Human Services, Child Welfare Programs",01/15/2020 11:44 AM,Correcting Statutory Authority and Statutes Implemented,CWP 75-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7603662
413,"Department of Human Services, Child Welfare Programs",01/15/2020 11:45 AM,Correcting Statutory Authority and Statutes Implemented,CWP 76-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7603663
413,"Department of Human Services, Child Welfare Programs",01/15/2020 11:46 AM,Correcting Statutory Authority and Statutes Implemented,CWP 77-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7603664
141,Department of State Lands,02/20/2020 8:44 AM,Correcting Typo in OAR 141-001-0000,DSL 2-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604051
837,"Department of State Police, Office of State Fire Marshal",02/20/2020 10:46 AM,Corrects statutory reference from ORS 453.307(4) to ORS 453.307(5).,OSFM 1-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604053
413,"Department of Human Services, Child Welfare Programs",02/20/2020 10:48 AM,Correcting Statutory Authority and Statutes Implemented,CWP 114-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604052
413,"Department of Human Services, Child Welfare Programs",02/20/2020 12:10 PM,Correcting Statutory Authority and Statutes Implemented,CWP 115-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604055
413,"Department of Human Services, Child Welfare Programs",02/20/2020 12:31 PM,Correcting Statutory Authority and Statutes Implemented,CWP 116-2020,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604056
635,Department of Fish and Wildlife,02/20/2020 3:21 PM,Modifications to Rules for 2020 Columbia River Spring Chinook Fisheries,DFW 18-2020,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=7604057
