Issuing body	Published	File url	Ref	Summary	Title	file name 
INSTIUTCION AUTONOMA (ALCALDIA MUNICIPAL)	24/10/2002	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2000-2009/2002/10/88BEF.PDF	Ordenanzas Municipales	La presente Ordenanza tiene como finalidad primordial, evitar la contaminación del medio ambiente y del recurso hídrico, ya que particularmente es uno de los principales problemas del municipio, por lo que se hace necesario la intervención de las autoridades legalmente constituídas, para regular, controlar y sancionar las actividades que atenten a la protección y conservación del mismo, evitando consecuencias que afecten a las presentes y futuras generaciones. JL	ORDENANZA MUNICIPAL PARA LA CONSERVACION DE LOS RECURSOS COSTEROS MARINOS DEL MUNICIPIO DE LA UNION, DEPARTAMENTO DE LA UNION	cb0526d58f1475d71edc778e1b1206fc055008cc
ORGANO LEGISLATIVO	24/01/1996	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/1990-1999/1996/01/88958.PDF	Decretos Legislativos	La presente Ley tiene por objeto regular los aspectos relacionados con la exploración, explotación procesamiento y comercialización de los recursos naturales no renovables existentes en el suelo y subsuelo del territorio de la República de El Salvador.	LEY DE MINERIA	fc7393e17b4b86ec89bd8a58529332ecb5bc8da5
MINISTERIO DE ECONOMIA	07/08/1996	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/1990-1999/1996/08/8907A.PDF	Reglamentos	Las disposiciones comprendidas en el presente Reglamento tiene por objeto desarrollar y asegurar la aplicación de las normas establecidas en la Ley de Minería, a efecto de que se cumpla con sus objetivos.	REGLAMENTO DE LA LEY DE MINERIA	e7ec4a039e268506de1672edfbe0bd2bc1853404
ORGANO LEGISLATIVO	23/08/1996	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/1990-1999/1996/08/8893E.PDF	Decreto Legislativo	La presente Ley tiene como finalidad crear un ente cuya finalidad sea principalmente la promoción de los sitios más atractivos del país, fomentando la inversión extranjera y nacional, coadyuvando así con las políticas ambientales del Gobierno de la República.	LEY DE LA CORPORACION SALVADOREÑA DE TURISMO	a9bb3c2f072fb3eef86209d30112f65a04a2a60e
ORGANO LEGISLATIVO	04/03/1991	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/1990-1999/1991/03/88A3F.PDF	Decretos Legislativos	La presente Ley tiene por objeto canalizar recursos financieros provenientes del Estado y de otras fuentes, destinados a proporcionar créditos a los campesinos, agricultores en pequeño y pequeños productores, para que éstos adquieran en propiedad tierras de vocación agrícolas, pecuaria o forestal.	LEY PARA EL FINANCIAMIENTO DE LA PEQUEÑA PROPIEDAD RURAL	643a94918aa1a2d5bffc589d805d21c70d2cc656
ORGANO LEGISLATIVO	08/03/1993	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/1990-1999/1993/03/888A7.PDF	Decretos Legislativos	Por medio de la presente Ley, se crea el CENTRO NACIONAL DE TECNOLOGIA AGROPECUARIA Y FORESTAL (CENTA), como una Institución Autónoma de Derecho Público, de carácter científico y técnico, con personalidad jurídica y patrimonio propio; con autonomía en lo administrativo, en lo económico y en lo técnico; cuyo funcionamiento y objetivos se regirán por las políticas del Consejo Nacional de Ciencia y Tecnología (CONACYT) y las políticas de desarrollo agropecuario y forestal del MAG.	LEY DE CREACION DEL CENTRO NACIONAL DE TECNOLOGIA AGROPECUARIA Y FORESTAL	9eee9745db597589711de91531211c4705c4531d
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	11/02/2015	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/02/AC65D.PDF	Decreto Municipal-Santa Elena	La presente Ordenanza tiene por objeto establecer un cobro como Contribución Especial, a cargo de la Empresa Transmisora de El Salvador, y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de su propiedad, situados dentro de la jurisdicción del Municipio de Santa Elena, Departamento de Usulután, en concepto de funcionamiento de estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE SANTA ELENA, DEPARTAMENTO DE USULUTAN	2144417889320271f64e1151888be2b391c7aa2f
INSTITUCIONES AUTÓNOMAS (Corte de Cuentas de la República)	14/03/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/03/9E230.PDF	Decreto de Corte de Cuentas	Las presentes Normas Técnicas de Control Interno Específicas, constituirán el marco básico que establecerá el Ministerio de Agricultura y Ganadería, aplicables con carácter obligatorio a las diferentes dependencias del Ministerio y sus servidores.	REGLAMENTO DE NORMAS TECNICAS DE CONTROL INTERNO ESPECIFICAS DEL MINISTERIO DE AGRICULTURA Y GANADERIA (MAG)	354dd06f542354eb73989b3b9d96c34fefead639
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	29/07/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/07/A8C33.PDF	Decreto Municipal-San Esteban Catarina	La presente Ordenanza tiene por objeto establecer un cobro como contribución especial, a cargo de la Empresa Transmisora de El Salvador y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio de San Esteban Catarina, Departamento de San Vicente, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes, de su propiedad, situadas dentro de la jurisdicción del Municipio, en concepto de funcionamiento de estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE SAN ESTEBAN CATARINA, DEPARTAMENTO DE SAN VICENTE	af8a2f26480c76cfc9ec084ecc256cb1e51a1ce0
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	27/02/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/02/A4F2C.PDF	Decreto Municipal-El Carmen	La presente Ordenanza tiene por objeto establecer un cobro como Contribución Especial a cargo de la Empresa Transmisora de El Salvador, y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de su propiedad, situados dentro de la jurisdicción del Municipio de Villa El Carmen, Departamento de Cuscatlán, en concepto de funcionamiento de Estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE VILLA EL CARMEN, DEPARTAMENTO DE CUSCATLAN	32ff28d068be2dcfaa9f2a77945ac9476654d484
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	07/11/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/11/9B241.PDF	Decreto Municipal-San Francisco Javier	La presente Ordenanza tiene por objeto establecer un tributo en concepto de tasa a cargo de la Empresa Transmisora de El Salvador y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión de energía a nivel nacional, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de cualquier naturaleza de su propiedad, situadas dentro de la jurisdicción del Municipio.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE SAN FRANCISCO JAVIER, DEPARTAMENTO DE USULUTAN	36ad0ca85cb4fdb70c0e5aff0a32f28251af5611
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	19/10/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/10/9A912.PDF	Decreto Municipal-Salcoatitán	La presente Ordenanza tiene por objeto establecer un cobro como Contribución Especial, a cargo de la Empresa Transmisora de El Salvador, y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de su propiedad, situados dentro de la jurisdicción del Municipio, en concepto de funcionamiento de estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE SALCOATITAN, DEPARTAMENTO DE SONSONATE	08f5a1a53398dc6d2d3add60be3cbc1ca4ab0d9e
INSTITUCIONES AUTÓNOMAS (Alcaldías Municipales)	17/02/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/02/94FB3.PDF	Decreto Municipal-Bolívar	La presente Ordenanza posee por finalidad la de establecer un cobro como Contribución Especial a cargo de la Empresa Transmisora de El Salvador y cualquier otra dedicada a la transmisión de energía en la jurisdicción del Municipio de la Villa Bolívar, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras de su propiedad. Lo anterior de conformidad a los Artículos 203 y 204 ordinal 1° y 5° de la Constitución de la República y Artículo 4 numeral 27 del Código Municipal. Finalmente, la presente ordenanza determina la base imponible, el plazo de pago, las infracciones, y el recurso a interponer.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION, EN LA JURISDICCION DEL MUNICIPIO DE BOLIVAR, DEPARTAMENTO DE LA UNION	8b8fe01a33719a9ed20b7713296622eff1e4cd52
INSTITUCIONES AUTÓNOMAS (Alcaldías Municipales)	21/03/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/03/95BC4.PDF	Decreto Municipal-Yucuaiquín	La presente Ordenanza posee por finalidad establecer un cobro como contribución especial a cargo de la Empresa Transmisora de El Salvador y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del municipio de Yucuaiquín, siendo esta responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo determina la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión situados en dicho municipio, en concepto de funcionamiento de estructuras. Lo anterior, debido a que es obligación de todo Órgano e Institución del Estado asegurar a los habitantes de la República el bienestar económico y la justicia social.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE YUCUAIQUIN, DEPARTAMENTO DE LA UNION	d059638adec701a2a43535807d5283bd0101aed2
ORGANO EJECUTIVO (Ministerio de Trabajo y Previsión Social)	30/04/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/04/968D4.PDF	Decreto Ejecutivo	El presente Reglamento tiene por objeto complementar el marco legal de la Ley General de Prevención de Riesgos en los Lugares de Trabajo, en lo que respecta al uso y condiciones de seguridad aplicables en la instalación, operación, inspección, mantenimiento y reparación de los generadores de vapor.	REGLAMENTO PARA LA VERIFICACION DEL FUNCIONAMIENTO Y MANTENIMIENTO DE GENERADORES DE VAPOR	4ae166c47d441f551b14686dd0f798f8ea16a080
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	02/05/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/05/9687F.PDF	Decreto Municipal-Chapeltique	La presente Ordenanza establece un aumento a la base impositiva de cobro como contribución especial a las empresas Transmisoras de El Salvador y cualquier otra dedicada a la Transmisión de energía en la jurisdicción del Municipio de Chapeltique, según lo establece la Ley de Electricidad por la instalación de estructura que sostengan conductores de alta tensión ya sea compuestas por torres y/o postes.	ORDENANZA REGULADORA DEL FUNCIONAMIENTO E INSTALACION DE ESTRUCTURA DE ALTA TENSION EN EL MUNICIPIO DE CHAPELTIQUE, DEPARTAMENTO DE SAN MIGUEL	df1255e308e5e34a65a42b56955b6b7194f9d8d0
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	15/05/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/05/96D4D.PDF	Decreto Municipal-San Ildefonso	La presente Ordenanza tiene por objeto establecer un cobro como Contribución Especial a cargo de la Empresa Transmisora de El Salvador y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio de San Ildefonso, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de su propiedad, situados dentro de la jurisdicción del Municipio, en concepto de funcionamiento de Estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE SAN ILDEFONSO, DEPARTAMENTO DE SAN VICENTE	ca0130b69407e98baff5a280614d7dc41bad5db0
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	23/05/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/05/96EA6.PDF	Decreto Municipal-El Triunfo	La presente ordenanza tiene como objeto establecer un cobro como contribución especial, a cargo de la Empresa Transmisora de El Salvador, y cualquier otra dedicada a la transmisión de energía en la jurisdicción del Municipio, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel Nacional, según lo establece la Ley General de Electricidad por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de su propiedad, situadas dentro de la Jurisdicción del Municipio, en concepto de funcionamiento.	ORDENANZA REGULADORA PARA LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE EL TRIUNFO, DEPARTAMENTO DE USULUTAN	0e2a5cafb881516c84d09d11570e046d4fd421ea
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	08/06/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/06/974CA.PDF	Decreto Municipal-Ilopango	La presente Ordenanza regula la instalación, permisos de funcionamiento y pago mensual de antenas y torres de telecomunicación, cabinas para instalar servicios telefónicos y la infraestructura complementaria que estas necesiten, así como los postes para instalar cables de cualquier naturaleza, por el uso del suelo y subsuelo; determinando que la entidad responsable para el proceso de aprobación de la ubicación e instalación de estas es la Oficina de Planificación y Desarrollo del Área Metropolitana de San Salvador (OPAMSS) la cual actuará conjuntamente con la Alcaldía Municipal de Ilopango. Y en el caso del permiso de funcionamiento respectivo es el Departamento de Registro Tributario de la Municipalidad de Ilopango.	ORDENANZA REGULADORA PARA LA INSTALACION DE ANTENAS, TORRES DE TELECOMUNICACION, CABINAS TELEFONICAS, CAJAS DISTRIBUIDORAS DE LINEAS TELEFONICAS Y POSTES PARA INSTALAR CABLES DE CUALQUIER NATURALEZA DEL MUNICIPIO DE ILOPANGO, DEPARTAMENTO DE SAN SALVADOR	7fc5fe19a7fbead1f3e33006d12478177a688e07
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	25/09/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/09/9A25F.PDF	Decreto Municipal-Atiquizaya	La presente ordenanza tiene por objeto establecer un cobro como contribución especial a cargo de la Empresa Transmisora de El Salvador, S.A. de C.V. o a la sociedad o empresa que adquiera sus derechos y obligaciones dentro de la jurisdicción del Municipio de Atiquizaya, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, compuesto por torres de su propiedad situadas dentro de la jurisdicción del Municipio, ya sean compuestas por torres y/o postes de su propiedad, situados dentro de la Jurisdicción del Municipio en concepto de funcionamiento de estructuras.	ORDENANZA ESPECIAL REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE ATIQUIZAYA, DEPARTAMENTO DE AHUACHAPAN	7f99b94fcc65ccf6923ed96a4b0b8d20aacf65a0
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	23/10/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/10/9AF7F.PDF	Decreto Municipal-San Lorenzo	La presente Ordenanza tiene por objeto establecer un tributo en concepto de tasa o cargo de la Empresa Transmisora de El Salvador y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio de San Lorenzo, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión de energía a nivel nacional, por la instalación de estructuras que sostenga conductores de alta tensión, ya sean compuestas por torres y/o postes de cualquier naturaleza de su propiedad, situados dentro de la jurisdicción del Municipio.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE SAN LORENZO, DEPARTAMENTO DE SAN VICENTE	ce0e2c375273a2021f5d25ef22de01218856fcea
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	21/01/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/01/9CCFA.PDF	Decreto Municipal-San Martín	La presente Ordenanza se aplicará a la instalación, permisos de funcionamiento y pago mensual de Antenas y Torres de Telecomunicación, y a la infraestructura complementaria que éstas necesiten, así como postes para instalar cables de cualquier naturaleza. Por el uso de suelo y subsuelo dentro del Municipio de San Martín.	ORDENANZA REGULADORA PARA LA INSTALACION DE ANTENAS, TORRES DE TELECOMUNICACIONES Y POSTES PARA INSTALAR CABLES DE CUALQUIER NATURALEZA DE LA CIUDAD DE SAN MARTIN, DEPARTAMENTO DE SAN SALVADOR	0cffb35cd25d9440b1ac33c5bc98a31af423f5b3
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	25/02/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/02/9DBBF.PDF	Decreto Municipal-San Francisco Javier	La presente Ordenanza tiene por objeto establecer un cobro como contribución especial, a cargo de la Empresa Transmisora de El Salvador y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de su propiedad, situadas dentro de la jurisdicción del Municipio, en concepto de funcionamiento estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO SAN FRANCISCO JAVIER, DEPARTAMENTO DE USULUTAN	196c699af22a6de59b2bc43af7567737fdee5b89
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	25/02/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/02/9DBB8.PDF	Decreto Municipal-San Agustín	La presente Ordenanza tiene por objeto establecer un cobro como contribución especial, a cargo de la Empresa Transmisora de El Salvador y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de su propiedad, situadas dentro de la jurisdicción del Municipio, en concepto de funcionamiento estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO SAN AGUSTIN, DEPARTAMENTO DE USULUTAN	58a2ada899256d638a9ef69c357f65f27688eb0f
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	15/03/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/03/9E2AA.PDF	Decreto Municipal-Mejicanos-2	La presente ordenanza tiene como finalidad armonizar los intereses comunes de carácter económico, cultural, ambiental y de convivencia social de la población del municipio de Mejicanos regulando las actividades del comercio que se realizan en el espacio público.	ORDENANZA REGULADORA DEL COMERCIO EN EL ESPACIO PUBLICO DEL MUNICIPIO DE MEJICANOS, DEPARTAMENTO DE SAN SALVADOR	ce1b45c3e048e48484025f4cbb883f47659140f3
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	20/05/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/05/9FA3F.PDF	Decreto Municipal-Lolotique	La presente Ordenanza tiene por objeto establecer un tributo en concepto de Contribución Especial a cargo de la Empresa Transmisora de El Salvador y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio de Lolotique, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión de energía a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de cualquier naturaleza de su propiedad, situados dentro de la jurisdicción del Municipio.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE LOLOTIQUE, DEPARTAMENTO DE SAN MIGUEL	f3fd7384363bdad63636b6bd13ac2efc5d513df6
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	23/05/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/05/9FB72.PDF	Decreto Municipal-San Pedro Perulapán	La presente ordenanza tiene por objeto establecer el cobro a cargo de la Empresa Transmisora de El Salvador y cualquier otra dedicada a la transmisión de Energía en la jurisdicción del Municipio, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de su propiedad, situados dentro de la jurisdicción del municipio, en concepto de funcionamiento de estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE SAN PEDRO PERULAPAN, DEPARTAMENTO DE CUSCATLAN	42dd77a42c2ee775a7fb89a0b40643839ff9066f
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	12/09/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/09/A214D.PDF	Decreto Municipal-San Marcos	La presente Ordenanza tiene por objeto establecer un cobro como Contribución Especial, a cargo de la Empresa Transmisora de El Salvador, y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes, de su propiedad, situados dentro de la jurisdicción del Municipio, en concepto de funcionamiento de estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE SAN MARCOS, DEPARTAMENTO DE SAN SALVADOR	406a87b898ffcc378fa44e410a349d2d87e4b3fe
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	17/07/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/07/A8868.PDF	Decreto Municipal-Apastepeque	La presente Ordenanza tiene por objeto establecer un cobro como Contribución Especial, a cargo de la Empresa Transmisora de El Salvador, y cualquier otra dedicada a la Transmisión de Energía en la jurisdicción del Municipio de Apastepeque, Departamento de San Vicente, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de su propiedad, situados dentro de la jurisdicción del Municipio, en concepto de funcionamiento estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE APASTEPEQUE, DEPARTAMENTO DE SAN VICENTE	7620569d01ed0540246f93c7041e11ea2f2d91b1
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	10/09/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/09/A98D1.PDF	Decreto Municipal-San Martín	La presente Ordenanza tiene por objeto establecer un cobro como Contribución Especial a cargo de la Empresa Transmisora de El Salvador, y cualquier otra dedicada a la Transmisión de Energía en la Jurisdicción del Municipio de San Martín, Departamento de San Salvador, como responsable de la ejecución de proyectos de expansión y mantenimiento de la Red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de su propiedad, situados dentro de la jurisdicción del Municipio, en concepto de Funcionamiento de Estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION EN LA JURISDICCION DEL MUNICIPIO DE SAN MARTIN, DEPARTAMENTO DE SAN SALVADOR	4ce45b1141ac0e5b4ff5c80a5f6bd1c1071b9733
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	12/09/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/09/A9A7F.PDF	Decreto Municipal-El Tránsito	La presente Ordenanza tiene por objeto establecer un cobro como Contribución Especial, a cargo de la Empresa Transmisora de El Salvador, y cualquier otra dedicada a la Transmisión de Energía en la Jurisdicción del Municipio, como responsable de la ejecución de proyectos de expansión y mantenimiento de la red de transmisión a nivel nacional, según lo establece la Ley General de Electricidad, por la instalación de estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes de su propiedad, situados dentro de la Jurisdicción del Municipio de El Transito, Departamento de San Miguel, en concepto de funcionamiento de estructuras.	ORDENANZA REGULADORA DE LA INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION, EN LA JURISDICCION DEL MUNICIPIO DE EL TRANSITO, DEPARTAMENTO DE SAN MIGUEL	b43014469ae870dc6dc68d28b48cf81f80d6c28d
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	19/09/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/09/A9CA5.PDF	Decreto Municipal-Sesori	La presente Ordenanza tiene como objeto establecer un cobro por construcción, instalación y funcionamiento de las estructuras y construcciones a cargo de las Empresas dedicadas a la trasmisión de Energía, y que posean estructuras que sostengan conductores de alta tensión, ya sean compuestas por torres y/o postes en la Jurisdicción del Municipio de Sesori, Departamento de San Miguel.	ORDENANZA REGULADORA DE LA CONSTRUCCION, INSTALACION Y FUNCIONAMIENTO DE ESTRUCTURAS DE ALTA TENSION, EN LA JURISDICCION DEL MUNICIPIO DE SESORI, DEPARTAMENTO DE SAN MIGUEL	fc882efd1f84cb2f582c7bf2701b32b75b3d4b7a
